# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 344         4.447       51.962      -4.30       Rotterdam   
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,HH,    T
  344,20190101,    1,   87
  344,20190101,    2,   88
  344,20190101,    3,   87
  344,20190101,    4,   81
  344,20190101,    5,   85
  344,20190101,    6,   87
  344,20190101,    7,   90
  344,20190101,    8,   84
  344,20190101,    9,   84
  344,20190101,   10,   87
  344,20190101,   11,   88
  344,20190101,   12,   86
  344,20190101,   13,   88
  344,20190101,   14,   87
  344,20190101,   15,   80
  344,20190101,   16,   71
  344,20190101,   17,   70
  344,20190101,   18,   65
  344,20190101,   19,   60
  344,20190101,   20,   64
  344,20190101,   21,   67
  344,20190101,   22,   61
  344,20190101,   23,   62
  344,20190101,   24,   62
  344,20190102,    1,   55
  344,20190102,    2,   62
  344,20190102,    3,   59
  344,20190102,    4,   58
  344,20190102,    5,   61
  344,20190102,    6,   61
  344,20190102,    7,   61
  344,20190102,    8,   48
  344,20190102,    9,   67
  344,20190102,   10,   68
  344,20190102,   11,   63
  344,20190102,   12,   58
  344,20190102,   13,   67
  344,20190102,   14,   64
  344,20190102,   15,   57
  344,20190102,   16,   56
  344,20190102,   17,   60
  344,20190102,   18,   54
  344,20190102,   19,   53
  344,20190102,   20,   51
  344,20190102,   21,   49
  344,20190102,   22,   47
  344,20190102,   23,   46
  344,20190102,   24,   28
  344,20190103,    1,   37
  344,20190103,    2,   24
  344,20190103,    3,   36
  344,20190103,    4,   26
  344,20190103,    5,   25
  344,20190103,    6,   12
  344,20190103,    7,   17
  344,20190103,    8,   25
  344,20190103,    9,   41
  344,20190103,   10,   59
  344,20190103,   11,   55
  344,20190103,   12,   70
  344,20190103,   13,   69
  344,20190103,   14,   52
  344,20190103,   15,   44
  344,20190103,   16,   30
  344,20190103,   17,   21
  344,20190103,   18,   17
  344,20190103,   19,   22
  344,20190103,   20,   17
  344,20190103,   21,    9
  344,20190103,   22,   26
  344,20190103,   23,   27
  344,20190103,   24,   26
  344,20190104,    1,   38
  344,20190104,    2,   36
  344,20190104,    3,   40
  344,20190104,    4,   35
  344,20190104,    5,   35
  344,20190104,    6,   45
  344,20190104,    7,   49
  344,20190104,    8,   47
  344,20190104,    9,   45
  344,20190104,   10,   48
  344,20190104,   11,   47
  344,20190104,   12,   46
  344,20190104,   13,   48
  344,20190104,   14,   45
  344,20190104,   15,   54
  344,20190104,   16,   65
  344,20190104,   17,   65
  344,20190104,   18,   66
  344,20190104,   19,   64
  344,20190104,   20,   62
  344,20190104,   21,   66
